Date,Open,High,Low,Close
04-01-2010,7.6225,7.660714,7.585,7.643214
05-01-2010,7.664286,7.699643,7.616071,7.656429
06-01-2010,7.656429,7.686786,7.526786,7.534643
07-01-2010,7.5625,7.571429,7.466071,7.520714
08-01-2010,7.510714,7.571429,7.466429,7.570714
11-01-2010,7.6,7.607143,7.444643,7.503929
12-01-2010,7.471071,7.491786,7.372143,7.418571
13-01-2010,7.423929,7.533214,7.289286,7.523214
14-01-2010,7.503929,7.516429,7.465,7.479643
15-01-2010,7.533214,7.557143,7.3525,7.354643
19-01-2010,7.440357,7.685357,7.401429,7.68
20-01-2010,7.675357,7.698214,7.482143,7.561786
21-01-2010,7.574286,7.618214,7.400357,7.431071
22-01-2010,7.385,7.410714,7.041429,7.0625
25-01-2010,7.2325,7.310714,7.149643,7.2525
26-01-2010,7.355357,7.6325,7.235,7.355
27-01-2010,7.3875,7.520714,7.126071,7.424286
28-01-2010,7.318929,7.339286,7.096429,7.1175
29-01-2010,7.181429,7.221429,6.794643,6.859286
01-02-2010,6.870357,7,6.832143,6.954643
02-02-2010,6.996786,7.011429,6.906429,6.995
03-02-2010,6.970357,7.15,6.943571,7.115357
04-02-2010,7.026071,7.084643,6.841786,6.858929
05-02-2010,6.879643,7,6.816071,6.980714
08-02-2010,6.988929,7.067143,6.928571,6.932857
09-02-2010,7.015,7.053571,6.955357,7.006786
10-02-2010,6.996071,7.021429,6.937857,6.968571
11-02-2010,6.96,7.133929,6.930714,7.095357
12-02-2010,7.075357,7.201429,6.982143,7.156429
16-02-2010,7.212143,7.274643,7.197143,7.264286
17-02-2010,7.2925,7.296786,7.173571,7.233929
18-02-2010,7.201071,7.281786,7.175714,7.2475
19-02-2010,7.209286,7.257143,7.1825,7.2025
22-02-2010,7.226429,7.232143,7.113929,7.157857
23-02-2010,7.142857,7.190357,6.989643,7.037857
24-02-2010,7.079643,7.194286,7.065714,7.166429
25-02-2010,7.049286,7.245,7.031786,7.214286
26-02-2010,7.227857,7.3275,7.214286,7.307857
01-03-2010,7.348214,7.482143,7.3375,7.463929
02-03-2010,7.4975,7.529643,7.419286,7.458929
03-03-2010,7.462143,7.495357,7.426429,7.476071
04-03-2010,7.474286,7.532857,7.451071,7.525357
05-03-2010,7.676429,7.846429,7.665357,7.819643
08-03-2010,7.8575,7.860357,7.794643,7.824286
09-03-2010,7.796786,8.035714,7.781786,7.965
10-03-2010,7.993929,8.052857,7.971429,8.03
11-03-2010,7.996786,8.053571,7.975714,8.053571
12-03-2010,8.120357,8.133214,8.0625,8.092857
15-03-2010,8.049286,8.053571,7.866071,7.994286
16-03-2010,8.006429,8.035,7.946786,8.016071
17-03-2010,8.032143,8.0875,7.973929,8.004286
18-03-2010,8.003571,8.035714,7.950357,8.023214
19-03-2010,8.028214,8.044286,7.901071,7.9375
22-03-2010,7.873929,8.071429,7.8625,8.026786
23-03-2010,8.058571,8.170714,8.003571,8.155714
24-03-2010,8.13,8.221429,8.125357,8.191786
25-03-2010,8.247143,8.248929,8.080357,8.094643
26-03-2010,8.176786,8.283929,8.1625,8.246429
29-03-2010,8.321429,8.3525,8.272143,8.299643
30-03-2010,8.45,8.481429,8.366071,8.423214
31-03-2010,8.410357,8.450357,8.373571,8.392857
01-04-2010,8.478929,8.526071,8.3125,8.4275
05-04-2010,8.392143,8.518214,8.384643,8.5175
06-04-2010,8.507143,8.58,8.464286,8.555
07-04-2010,8.555357,8.64,8.523571,8.592857
08-04-2010,8.587143,8.626429,8.501429,8.569643
09-04-2010,8.6225,8.638929,8.587857,8.635357
12-04-2010,8.65,8.681071,8.636071,8.653214
13-04-2010,8.637857,8.671429,8.611071,8.658214
14-04-2010,8.76,8.778929,8.716786,8.774643
15-04-2010,8.777857,8.893929,8.768214,8.89
16-04-2010,8.8775,8.969286,8.733929,8.835714
19-04-2010,8.8225,8.853214,8.634643,8.823929
20-04-2010,8.876429,8.901786,8.677143,8.735357
21-04-2010,9.242857,9.294643,9.133214,9.257857
22-04-2010,9.222857,9.526786,9.15,9.516786
23-04-2010,9.571071,9.720714,9.535714,9.6725
26-04-2010,9.71,9.730714,9.578214,9.625
27-04-2010,9.545357,9.565714,9.304286,9.358571
28-04-2010,9.401786,9.428571,9.1575,9.342857
29-04-2010,9.393571,9.642857,9.3575,9.594286
30-04-2010,9.618214,9.663214,9.321429,9.324643
03-05-2010,9.422857,9.567143,9.388571,9.5125
04-05-2010,9.388929,9.403214,9.169643,9.238571
05-05-2010,9.036786,9.219286,8.883214,9.1425
06-05-2010,9.065357,9.223214,7.116071,8.794643
07-05-2010,8.703929,8.806071,8.043214,8.423571
10-05-2010,8.9375,9.094643,8.876071,9.071071
11-05-2010,8.994286,9.281786,8.946429,9.161429
12-05-2010,9.258571,9.3975,9.239286,9.360357
13-05-2010,9.400714,9.464286,9.157143,9.227143
14-05-2010,9.112857,9.16,8.910714,9.065
17-05-2010,9.096429,9.149286,8.846786,9.079286
18-05-2010,9.177857,9.233929,8.937857,9.012857
19-05-2010,8.910714,9.032857,8.744643,8.869286
20-05-2010,8.638571,8.708929,8.436071,8.491429
21-05-2010,8.315,8.732143,8.2625,8.654286
24-05-2010,8.831429,8.960714,8.795,8.812857
25-05-2010,8.548214,8.812857,8.47,8.757857
26-05-2010,8.931429,9.004643,8.705357,8.718214
27-05-2010,8.95,9.0675,8.896786,9.048214
28-05-2010,9.263929,9.264286,9.048214,9.174286
01-06-2010,9.274643,9.497857,9.248571,9.315357
02-06-2010,9.447857,9.457143,9.2975,9.426786
03-06-2010,9.470714,9.483929,9.300357,9.397143
04-06-2010,9.221786,9.353571,9.093929,9.141429
07-06-2010,9.224643,9.255357,8.948214,8.962143
08-06-2010,9.044286,9.064286,8.773214,8.904643
09-06-2010,8.981071,8.996429,8.660357,8.685714
10-06-2010,8.744286,8.963571,8.65,8.946786
11-06-2010,8.865357,9.066429,8.834643,9.053929
14-06-2010,9.141429,9.255357,9.071786,9.081429
15-06-2010,9.13,9.280357,9.125,9.274643
16-06-2010,9.325,9.5625,9.308214,9.544643
17-06-2010,9.664286,9.746429,9.625,9.709643
18-06-2010,9.723214,9.821429,9.693571,9.788214
21-06-2010,9.9175,9.964643,9.5975,9.648929
22-06-2010,9.72,9.856071,9.696429,9.780357
23-06-2010,9.806429,9.809286,9.567857,9.6775
24-06-2010,9.678571,9.757143,9.575,9.607143
25-06-2010,9.645,9.6525,9.493214,9.525
28-06-2010,9.533214,9.633929,9.447143,9.582143
29-06-2010,9.432857,9.4425,9.082143,9.148929
30-06-2010,9.168214,9.213214,8.928929,8.983214
01-07-2010,9.082143,9.1,8.686429,8.874286
02-07-2010,8.946071,8.961786,8.685714,8.819286
06-07-2010,8.964286,9.028571,8.791429,8.879643
07-07-2010,8.946071,9.241786,8.919643,9.238214
08-07-2010,9.374286,9.389286,9.103214,9.2175
09-07-2010,9.174643,9.282143,9.112857,9.272143
12-07-2010,9.233214,9.351786,9.102143,9.188929
13-07-2010,9.154286,9.157143,8.801071,8.992857
14-07-2010,8.906429,9.135714,8.892857,9.026071
15-07-2010,8.865357,9.1775,8.832143,8.980357
16-07-2010,9.042143,9.106071,8.871786,8.925
19-07-2010,8.924286,8.924286,8.557143,8.770714
20-07-2010,8.675,9.032143,8.571786,8.996071
21-07-2010,9.4675,9.469643,9.071429,9.08
22-07-2010,9.202857,9.285714,9.118214,9.250714
23-07-2010,9.181786,9.299286,9.152857,9.283571
26-07-2010,9.285714,9.289286,9.203929,9.26
27-07-2010,9.316786,9.457143,9.296429,9.431429
28-07-2010,9.416786,9.499643,9.294643,9.32
29-07-2010,9.311071,9.380357,9.146429,9.218214
30-07-2010,9.138929,9.275,9.103571,9.1875
02-08-2010,9.301429,9.378214,9.272143,9.351786
03-08-2010,9.321786,9.402143,9.265,9.354643
04-08-2010,9.387143,9.438571,9.296786,9.392143
05-08-2010,9.3475,9.399286,9.305357,9.346429
06-08-2010,9.277857,9.338929,9.201071,9.288929
09-08-2010,9.338571,9.3625,9.270357,9.348214
10-08-2010,9.280357,9.301786,9.198214,9.264643
11-08-2010,9.121429,9.131786,8.921786,8.935357
12-08-2010,8.810357,9.039286,8.79,8.9925
13-08-2010,8.9875,8.995714,8.896071,8.896429
16-08-2010,8.842143,8.928929,8.807857,8.844286
17-08-2010,8.931429,9.093929,8.9,8.998929
18-08-2010,9.012857,9.095357,8.985,9.038214
19-08-2010,9.03,9.052857,8.881429,8.924286
20-08-2010,8.906786,9.068571,8.892857,8.915714
23-08-2010,8.9925,9,8.758929,8.778571
24-08-2010,8.666786,8.678571,8.523214,8.568929
25-08-2010,8.501429,8.713929,8.471429,8.674643
26-08-2010,8.766071,8.776786,8.581429,8.581429
27-08-2010,8.633929,8.664643,8.412857,8.629286
30-08-2010,8.598571,8.776786,8.595714,8.660714
31-08-2010,8.6375,8.734286,8.583929,8.682143
01-09-2010,8.838214,8.980714,8.795714,8.940357
02-09-2010,8.973571,9.006071,8.8775,9.006071
03-09-2010,9.110357,9.242143,9.089286,9.241786
07-09-2010,9.165714,9.268929,9.151786,9.2075
08-09-2010,9.277857,9.4425,9.253571,9.39
09-09-2010,9.465714,9.518571,9.39,9.395357
10-09-2010,9.399643,9.446429,9.335714,9.4075
13-09-2010,9.493571,9.581429,9.491429,9.537143
14-09-2010,9.5075,9.613214,9.482857,9.573571
15-09-2010,9.5775,9.656429,9.565714,9.650714
16-09-2010,9.651429,9.881071,9.625,9.8775
17-09-2010,9.9175,9.927143,9.774286,9.834643
20-09-2010,9.86,10.135,9.851786,10.115357
21-09-2010,10.137857,10.2625,10.099643,10.134643
22-09-2010,10.096786,10.285,10.086071,10.276786
23-09-2010,10.226071,10.455714,10.214286,10.318571
24-09-2010,10.432143,10.483214,10.376786,10.44
27-09-2010,10.499286,10.526071,10.393214,10.398571
28-09-2010,10.420357,10.420357,9.821429,10.245
29-09-2010,10.258214,10.350357,10.214286,10.263214
30-09-2010,10.321429,10.357143,10.044643,10.133929
01-10-2010,10.219643,10.235,10.048214,10.09
04-10-2010,10.057143,10.103571,9.920357,9.951429
05-10-2010,10.071429,10.3375,10.065,10.319286
06-10-2010,10.3425,10.428214,10.187857,10.328214
07-10-2010,10.369286,10.374286,10.246786,10.329286
08-10-2010,10.418214,10.517857,10.357143,10.5025
11-10-2010,10.526429,10.615714,10.521429,10.548571
12-10-2010,10.550357,10.696429,10.446071,10.662143
13-10-2010,10.721429,10.784286,10.707143,10.719286
14-10-2010,10.774643,10.8025,10.728571,10.796786
15-10-2010,10.98,11.25,10.889643,11.240714
18-10-2010,11.373929,11.392857,11.224643,11.357143
19-10-2010,10.835714,11.206071,10.715,11.053214
20-10-2010,11.035714,11.223214,10.959643,11.090357
21-10-2010,11.155714,11.240714,10.957143,11.054286
22-10-2010,11.038214,11.072857,10.939286,10.981071
25-10-2010,11.038929,11.128571,11.015714,11.03
26-10-2010,10.959643,11.062143,10.916071,11.001786
27-10-2010,10.9875,11.067857,10.914286,10.993929
28-10-2010,10.998214,11,10.746429,10.901429
29-10-2010,10.865357,10.924286,10.745357,10.749286
01-11-2010,10.793571,10.914286,10.792857,10.863571
02-11-2010,10.964286,11.078214,10.964286,11.048571
03-11-2010,11.120357,11.174286,11.018929,11.171429
04-11-2010,11.266071,11.435,11.251071,11.366786
05-11-2010,11.356786,11.413214,11.3125,11.326071
08-11-2010,11.328571,11.420357,11.312857,11.379286
09-11-2010,11.466071,11.475,11.232143,11.288571
10-11-2010,11.308571,11.384643,11.198214,11.358214
11-11-2010,11.25,11.371429,11.223214,11.308929
12-11-2010,11.285714,11.303571,10.843929,11.001071
15-11-2010,11.016429,11.090714,10.938214,10.965714
16-11-2010,10.918571,10.985714,10.69,10.771071
17-11-2010,10.757143,10.856786,10.634286,10.732143
18-11-2010,10.9,11.059643,10.881786,11.015357
19-11-2010,10.998929,11.014286,10.901429,10.954643
22-11-2010,10.952857,11.191429,10.923929,11.191429
23-11-2010,11.0875,11.133929,10.948571,11.026071
24-11-2010,11.142857,11.264286,11.133929,11.242857
26-11-2010,11.205,11.346429,11.176429,11.25
29-11-2010,11.267857,11.338571,11.120714,11.316786
30-11-2010,11.197857,11.227143,11.1025,11.1125
01-12-2010,11.259643,11.348214,11.25,11.3
02-12-2010,11.340357,11.392857,11.246071,11.3625
03-12-2010,11.321786,11.380357,11.297857,11.337143
06-12-2010,11.38,11.511786,11.372143,11.433929
07-12-2010,11.564286,11.571071,11.361429,11.364643
08-12-2010,11.415357,11.465,11.325357,11.464643
09-12-2010,11.504643,11.517857,11.393571,11.42
10-12-2010,11.416071,11.466071,11.378571,11.448571
13-12-2010,11.584643,11.609286,11.464286,11.488214
14-12-2010,11.490357,11.519286,11.392857,11.438929
15-12-2010,11.428571,11.535714,11.399643,11.441429
16-12-2010,11.4675,11.521786,11.432143,11.473214
17-12-2010,11.486786,11.4925,11.436786,11.450357
20-12-2010,11.485714,11.544643,11.365357,11.5075
21-12-2010,11.535714,11.585357,11.501786,11.578571
22-12-2010,11.584286,11.632857,11.555357,11.612857
23-12-2010,11.607143,11.6125,11.541786,11.557143
27-12-2010,11.530357,11.622857,11.482857,11.595714
28-12-2010,11.639643,11.666429,11.609286,11.623929
29-12-2010,11.650714,11.658929,11.610714,11.6175
